Fecha,Pais,Presidente,Orden,Discurso,Oracion,TextoProcesado,PalabrasEliminadas,Clasificacion,Valoracion,Clasificacion2,Valoracion2,PalabrasFrecuentes,PalabrasFrecuentes2
2022,Argentina,Alberto Fernandez,16,Argentina_2022_Alberto_Fernandez.pdf,"Y entonces opté por esto porque el tercer año no lo evaluamos en una reunión de Gabinete, lo avaluamos entre todos.",entonces opté tercer año evaluamos reunión gabinete avaluamos,"{y, por, esto, porque, el, no, lo, en, una, de, lo, entre, todos}",Negativo,-0.296,Neutral,0.0,"['él', 'y', 'entonces']","['entonces', 'optar', 'tercer']"
2022,Argentina,Alberto Fernandez,17,Argentina_2022_Alberto_Fernandez.pdf,"Lo pongamos sobre la mesa, lo pongamos sobre la mesa lo que estuvo bien, lo que estuvo mal y digamos lo que debemos deci r.  Miren, muchos dicen: “que soy un presidente timorato, que son un presidente que no ejerce el liderazgo como algunos le gusta que se ejerza el liderazgo”.",pongamos mesa pongamos mesa bien mal digamos debemos deci miren dicen presidente timorato presidente ejerce liderazgo gusta ejerza liderazgo,"{lo, sobre, la, lo, sobre, la, lo, que, estuvo, lo, que, estuvo, y, lo, que, muchos, que, soy, un, que, son, un, que, no, el, como, algunos, le, que, se, el}",Negativo,-0.296,Neutral,0.0,"['él', 'que', 'el']","['poner', 'mesa', 'decir']"
2022,Argentina,Alberto Fernandez,18,Argentina_2022_Alberto_Fernandez.pdf,"Para mí los liderazgos no se ejercen ni gritando, ni golpeando la mesa.",liderazgos ejercen gritando golpeando mesa,"{para, mí, los, no, se, ni, ni, la}",Negativo,-0.296,Neutral,0.0,"['el', 'ni', 'para']","['liderazgo', 'ejercer', 'gritar']"
2022,Argentina,Alberto Fernandez,19,Argentina_2022_Alberto_Fernandez.pdf,Los liderazgos se ejercen convenciendo a todos de cuál es el camino a seguir y lograr que todos nos sigan.,liderazgos ejercen convenciendo cuál camino seguir lograr sigan,"{los, se, a, todos, de, es, el, a, y, que, todos, nos}",Neutral,0.0,Neutral,0.0,"['el', 'a', 'todo']","['seguir', 'liderazgo', 'ejercer']"
2022,Argentina,Alberto Fernandez,20,Argentina_2022_Alberto_Fernandez.pdf,Eso es ser líder.,ser líder,"{eso, es}",Neutral,0.0,Neutral,0.0,"['ser', 'ese', 'líder']","['ser', 'líder']"
2022,Argentina,Alberto Fernandez,21,Argentina_2022_Alberto_Fernandez.pdf,"Los líderes no están un escalón más arriba que su pueblo, están junto a su pueblo; y en todo caso marchan al frente de su pueblo, pero no están encima.",líderes escalón arriba pueblo junto pueblo caso marchan frente pueblo encima,"{los, no, están, un, más, que, su, están, a, su, y, en, todo, al, de, su, pero, no, están}",Negativo,-0.5267,Neutral,0.0,"['estar', 'su', 'pueblo']","['pueblo', 'líder', 'escalón']"
2022,Argentina,Alberto Fernandez,22,Argentina_2022_Alberto_Fernandez.pdf,Yo cr eo en ese liderazgo porque yo soy un hijo de la democracia.,cr eo liderazgo hijo democracia,"{yo, en, ese, porque, yo, soy, un, de, la}",Neutral,0.0,Neutral,0.0,"['yo', 'cr', 'eo']","['cr', 'eo', 'liderazgo']"
2022,Argentina,Alberto Fernandez,23,Argentina_2022_Alberto_Fernandez.pdf,"Yo viví, empecé a militar a los 14 años, abracé las banderas del peronismo a mis 14 años de edad, era delegado de la UES.",viví empecé militar 14 años abracé banderas peronismo 14 años edad delegado ues,"{yo, a, a, los, las, del, a, mis, de, era, de, la}",Neutral,0.0,Neutral,0.0,"[',', 'a', 'el']","['14', 'año', 'viví']"
2022,Argentina,Alberto Fernandez,24,Argentina_2022_Alberto_Fernandez.pdf,"Pero, la verdad es que el desarrollo político mío empezó cuando pasó la Gu erra de las Malvinas, el pueblo salió a las calles, las madres exigieron la democracia, las abuelas exigieron democracia, el pueblo acompaño ese pedido de democracia y soy un hijo de esa democracia.",verdad desarrollo político empezó pasó gu erra malvinas pueblo salió calles madres exigieron democracia abuelas exigieron democracia pueblo acompaño pedido democracia hijo democracia,"{pero, la, es, que, el, mío, cuando, la, de, las, el, a, las, las, la, las, el, ese, de, y, soy, un, de, esa}",Neutral,0.0,Neutral,0.0,"['el', ',', 'democracia']","['democracia', 'pueblo', 'exigir']"
2022,Argentina,Alberto Fernandez,25,Argentina_2022_Alberto_Fernandez.pdf,"Y a esa democracia la cuido más que nadie; cuidar esa dem ocracia es cuidarla en su calidad institucional, que las instituciones funcionen cómo deben funcionar; cuidar la democracia es garantizar la libertad de todos.",democracia cuido nadie cuidar dem ocracia cuidarla calidad institucional instituciones funcionen cómo deben funcionar cuidar democracia garantizar libertad,"{y, a, esa, la, más, que, esa, es, en, su, que, las, la, es, la, de, todos}",Neutral,0.0,Neutral,0.0,"['el', 'ese', 'democracia']","['democracia', 'cuidar', 'funcionar']"
2022,Argentina,Alberto Fernandez,26,Argentina_2022_Alberto_Fernandez.pdf,"Libertad no es, solamente, que cada uno diga lo que quiere; libertad es que cada uno se sienta c apaz de elegir su forma de vivir y que todos lo respetemos y todos lo ayudemos en esa elección.",libertad solamente cada diga quiere libertad cada sienta c apaz elegir forma vivir respetemos ayudemos elección,"{no, es, que, uno, lo, que, es, que, uno, se, de, su, de, y, que, todos, lo, y, todos, lo, en, esa}",Negativo,-0.296,Neutral,0.0,"['que', 'él', 'ser']","['libertad', 'cada', 'solamente']"
2022,Argentina,Alberto Fernandez,27,Argentina_2022_Alberto_Fernandez.pdf,"Para nosotros la república no es una palabra, es un valor.",república palabra valor,"{para, nosotros, la, no, es, una, es, un}",Negativo,-0.296,Neutral,0.0,"['ser', 'uno', 'para']","['república', 'palabro', 'valor']"
2022,Argentina,Alberto Fernandez,28,Argentina_2022_Alberto_Fernandez.pdf,"Pero en la república todo tiene que funcionar bien; tiene que funcionar bien un Poder Ejecutivo que disponga; tiene que funcionar bien un Poder Legislativo que saque las leyes; y tiene que funcionar bien un Poder Judicial que no ande escondido en los Lagos Escondidos del sur de la patria, sino que haga justicia.",república funcionar bien funcionar bien poder ejecutivo disponga funcionar bien poder legislativo saque leyes funcionar bien poder judicial ande escondido lagos escondidos sur patria sino haga justicia,"{pero, en, la, todo, tiene, que, tiene, que, un, que, tiene, que, un, que, las, y, tiene, que, un, que, no, en, los, del, de, la, que}",Negativo,-0.296,Neutral,0.0,"['que', 'el', 'tener']","['funcionar', 'bien', 'poder']"
2022,Argentina,Alberto Fernandez,29,Argentina_2022_Alberto_Fernandez.pdf,(APLAUSOS).,aplausos,{},Neutral,0.0,Neutral,0.0,"['(', 'APLAUSOS', ')']",['aplauso']
2022,Argentina,Alberto Fernandez,30,Argentina_2022_Alberto_Fernandez.pdf,"En estos tres años hicimos muchas cosas -yo les decía - y quiero contárselos mirándolos a los ojos porque en estos tres años de mucho dolor hay que acordarse de lo que heredamos, una deuda impagable; que si no hubiéramos hecho los acuerdos que hicimos este año tendríamos que estar pagando 19 mil millones de dólares, que no sabríamos de dónde saldrían para hacer frente a esa deuda, no sabríamos cómo hacerlo.",tres años hicimos muchas cosas decía quiero contárselos mirándolos ojos tres años dolor acordarse heredamos deuda impagable si hecho acuerdos hicimos año pagando 19 mil millones dólares sabríamos dónde saldrían hacer frente deuda sabríamos cómo hacerlo,"{en, estos, les, y, a, los, porque, en, estos, de, mucho, hay, que, de, lo, que, una, que, no, hubiéramos, los, que, este, tendríamos, que, estar, de, que, no, de, para, a, esa, no}",Negativo,-0.6808,Neutral,0.0,"['que', 'de', 'este']","['año', 'tres', 'deuda']"
2022,Argentina,Alberto Fernandez,31,Argentina_2022_Alberto_Fernandez.pdf,"Y, seguramente, tendríamos infinita más pobreza de la que, lamentablemente, tenemos.",seguramente infinita pobreza lamentablemente,"{y, tendríamos, más, de, la, que, tenemos}",Neutral,0.0,Neutral,0.0,"[',', 'tener', 'y']","['seguramente', 'infinito', 'pobreza']"
2022,Argentina,Alberto Fernandez,32,Argentina_2022_Alberto_Fernandez.pdf,"Pero también quie ro decirles que en ese tiempo nos ocupamos de los que peor estaban y no dudamos en lanzar un IFE -dos IFES - para que, efectivamente, (INAUDIBLE), no se preocupen porque son notas que tengo de las cosas que hicimos y esas las recuerdo.",quie ro decirles tiempo ocupamos peor dudamos lanzar ife ifes efectivamente inaudible preocupen notas cosas hicimos recuerdo,"{pero, también, que, en, ese, nos, de, los, que, estaban, y, no, en, un, para, que, no, se, porque, son, que, tengo, de, las, que, y, esas, las}",Negativo,-0.5267,Neutral,0.0,"['que', 'el', ',']","['quie', 'ro', 'decir él']"
2022,Argentina,Alberto Fernandez,33,Argentina_2022_Alberto_Fernandez.pdf,Hicimos dos IFES porq ue la gente más necesitada lo estaba reclamando.,hicimos dos ifes porq ue gente necesitada reclamando,"{la, más, lo, estaba}",Neutral,0.0,Neutral,0.0,"['hacer', 'dos', 'IFES']","['hacer', 'dos', 'if']"
2022,Argentina,Alberto Fernandez,34,Argentina_2022_Alberto_Fernandez.pdf,"Y nos dimos cuenta que había nacido en la Argentina una economía, que es una economía popular, que llegó para quedarse.",dimos cuenta nacido argentina economía economía popular llegó quedarse,"{y, nos, que, había, en, la, una, que, es, una, que, para}",Positivo,0.4215,Positivo,0.4215,"['que', 'uno', 'economía']","['economía', 'dar', 'cuenta']"
2022,Argentina,Alberto Fernandez,35,Argentina_2022_Alberto_Fernandez.pdf,"Y que debemos prestarles atención a esos sectores, a los que les cuesta mucho entrar en  la formalidad, pero que en el mientras tanto necesitan del auxilio de todos nosotros para poder estar viviendo en condiciones de mínima dignidad.",debemos prestarles atención sectores cuesta entrar formalidad mientras necesitan auxilio poder viviendo condiciones mínima dignidad,"{y, que, a, esos, a, los, que, les, mucho, en, la, pero, que, en, el, tanto, del, de, todos, nosotros, para, estar, en, de}",Neutral,0.0,Neutral,0.0,"['que', 'el', 'en']","['deber', 'prestarl', 'atención']"
2022,Argentina,Alberto Fernandez,36,Argentina_2022_Alberto_Fernandez.pdf,"Hicimos el IFE, pero también teníamos trabajadores en el sector formal.",hicimos ife trabajadores sector formal,"{el, pero, también, teníamos, en, el}",Neutral,0.0,Neutral,0.0,"['el', 'hicir', 'IFE']","['hacer', 'ife ', 'trabajador']"
2022,Argentina,Alberto Fernandez,37,Argentina_2022_Alberto_Fernandez.pdf,"Y muchas de esas empresas decían que  no podían seguir trabajando porque, claro, si no había mercado, no había quien comprara.",muchas empresas decían podían seguir trabajando claro si mercado comprara,"{y, de, esas, que, no, porque, no, había, no, había, quien}",Negativo,-0.6808,Neutral,0.0,"['no', ',', 'haber']","['mucho', 'empresa', 'decir']"
2022,Argentina,Alberto Fernandez,38,Argentina_2022_Alberto_Fernandez.pdf,"Salvo algunas cosas que eran los insumos básicos, los medicamentos, los alimentos; el resto de las cosas se paralizó, el resto de la economía se paralizó.",salvo cosas insumos básicos medicamentos alimentos resto cosas paralizó resto economía paralizó,"{algunas, que, eran, los, los, los, el, de, las, se, el, de, la, se}",Neutral,0.0,Neutral,0.0,"['el', ',', 'cosa']","['cosa', 'resto', 'paralizar']"
2022,Argentina,Alberto Fernandez,39,Argentina_2022_Alberto_Fernandez.pdf,Y nosotros nos preocupamos por cada uno de esos trabajadores y llevamos el ATP adelante.,preocupamos cada trabajadores llevamos atp adelante,"{y, nosotros, nos, por, uno, de, esos, y, el}",Neutral,0.0,Neutral,0.0,"['y', 'yo', 'preocupamos']","['preocupar', 'cada', 'trabajador']"
2022,Argentina,Alberto Fernandez,40,Argentina_2022_Alberto_Fernandez.pdf,"El ATP nos permitió, lo que yo tenía en mí cabeza, que era que un día la pandemia iba a terminar y la Argentina iba a volver a trabajar como siempre.",atp permitió cabeza día pandemia iba terminar argentina iba volver trabajar siempre,"{el, nos, lo, que, yo, tenía, en, mí, que, era, que, un, la, a, y, la, a, a, como}",Neutral,0.0,Neutral,0.0,"['el', 'yo', 'que']","['ir', 'atp', 'permitir']"
2022,Argentina,Alberto Fernandez,41,Argentina_2022_Alberto_Fernandez.pdf,"Y lo que necesitaba era que cada uno pudiera ir a su lugar de trabajo, al día siguiente de terminada la pandemia, y allí pudiera seguir trabajando como si una pesadilla hubiera pasado.",necesitaba cada pudiera ir lugar trabajo día siguiente terminada pandemia allí pudiera seguir trabajando si pesadilla pasado,"{y, lo, que, era, que, uno, a, su, de, al, de, la, y, como, una, hubiera}",Neutral,0.0,Neutral,0.0,"['y', 'que', 'uno']","['poder', 'necesitar', 'cada']"
2022,Argentina,Alberto Fernandez,42,Argentina_2022_Alberto_Fernandez.pdf,Y lo hicimos y apoyamos a muchos trabajadores.,hicimos apoyamos trabajadores,"{y, lo, y, a, muchos}",Neutral,0.0,Neutral,0.0,"['y', 'él', 'hacer']","['hicimo', 'apoyar', 'trabajador']"
2022,Argentina,Alberto Fernandez,43,Argentina_2022_Alberto_Fernandez.pdf,"Lo veo ahí a Héctor Daer, lo veo a Carlitos Acuña, l o veo a Hugo, que fue central porque los trabajadores, camioneros del transporte de carga, fueron centrales para que la Argentina no se detuviera en esos años, en ese tiempo.",veo ahí héctor daer veo carlitos acuña l veo hugo central trabajadores camioneros transporte carga centrales argentina detuviera años tiempo,"{lo, a, lo, a, o, a, que, fue, porque, los, del, de, fueron, para, que, la, no, se, en, esos, en, ese}",Negativo,-0.296,Neutral,0.0,"[',', 'él', 'ver']","['veo', 'central', 'ver']"
2022,Argentina,Alberto Fernandez,44,Argentina_2022_Alberto_Fernandez.pdf,"Teníamos un problema con los chicos, cómo hacíamos porque la Organización Mundia l de la Salud nos decía: “que los chicos no vayan al colegio porque en los colegios, en las aulas los chicos se contagian”.",problema chicos cómo hacíamos organización mundia l salud decía chicos vayan colegio colegios aulas chicos contagian,"{teníamos, un, con, los, porque, la, de, la, nos, que, los, no, al, porque, en, los, en, las, los, se}",Negativo,-0.296,Neutral,0.0,"['el', 'chico', ',']","['chico', 'colegio', 'problema']"
2022,Argentina,Alberto Fernandez,45,Argentina_2022_Alberto_Fernandez.pdf,Y fue todo un dilema que tuvimos que enfrentar y discusiones públicas que todos conocen.,dilema enfrentar discusiones públicas conocen,"{y, fue, todo, un, que, tuvimos, que, y, que, todos}",Neutral,0.0,Neutral,0.0,"['que', 'y', 'todo']","['dilemar', 'enfrentar', 'discusión']"
2022,Argentina,Alberto Fernandez,46,Argentina_2022_Alberto_Fernandez.pdf,"Pero allí estaban los docentes, Sergio, est aban las docentes, acá había una docente por acá..., no sé dónde, ¡acá!",allí docentes sergio est aban docentes acá docente acá sé dónde,"{pero, estaban, los, las, había, una, por, no}",Negativo,-0.3595,Neutral,0.0,"[',', 'docente', 'acá']","['docente', 'acá', 'allí']"
2022,Argentina,Alberto Fernandez,47,Argentina_2022_Alberto_Fernandez.pdf,¡acá!,,{},Neutral,0.0,Neutral,0.0,"['¡', 'acá', '!']",[]
2022,Argentina,Alberto Fernandez,48,Argentina_2022_Alberto_Fernandez.pdf,"Que aprendieron una nueva forma de enseñar a través de la virtualidad, a la distancia y se ocuparon de los chicos.",aprendieron nueva forma enseñar través virtualidad distancia ocuparon chicos,"{que, una, de, a, de, la, a, la, y, se, de, los}",Neutral,0.0,Neutral,0.0,"['de', 'el', 'a']","['aprender', 'nuevo', 'forma']"
2022,Argentina,Alberto Fernandez,49,Argentina_2022_Alberto_Fernandez.pdf,Y estuvieron los maestros también presentes para seguir distrib uyendo alimentos en las escuelas donde más se necesitaba dar alimentos para que los chicos no pierdan las proteínas que necesitan.,maestros presentes seguir distrib uyendo alimentos escuelas necesitaba dar alimentos chicos pierdan proteínas necesitan,"{y, estuvieron, los, también, para, en, las, donde, más, se, para, que, los, no, las, que}",Negativo,-0.296,Neutral,0.0,"['el', 'para', 'alimento']","['alimento', 'necesitar', 'maestro']"
2022,Argentina,Alberto Fernandez,50,Argentina_2022_Alberto_Fernandez.pdf,Eso lo hicimos entre todos.,hicimos,"{eso, lo, entre, todos}",Neutral,0.0,Neutral,0.0,"['ese', 'él', 'hacer']",['hacer']
2022,Argentina,Alberto Fernandez,51,Argentina_2022_Alberto_Fernandez.pdf,La pandemia fue un momento siniestro.,pandemia momento siniestro,"{la, fue, un}",Neutral,0.0,Neutral,0.0,"['el', 'pandemia', 'ser']","['pandemiar', 'momento', 'siniestro']"
2022,Argentina,Alberto Fernandez,52,Argentina_2022_Alberto_Fernandez.pdf,"Yo siempre digo, lo hablo mucho con los gobernadores, acá está el Gobernador de Tucumán, y lo hablo con muchos intendentes, algunos los veo por allí, lo veo a Lucas, lo veo a Andrés, lo veo a Julio, y lo hablo con muchos de ellos.",siempre digo hablo gobernadores acá gobernador tucumán hablo intendentes veo allí veo lucas veo andrés veo julio hablo,"{yo, lo, mucho, con, los, está, el, de, y, lo, con, muchos, algunos, los, por, lo, a, lo, a, lo, a, y, lo, con, muchos, de, ellos}",Neutral,0.0,Neutral,0.0,"[',', 'él', 'ver']","['hablar', 'gobernador', 'ver']"
2022,Argentina,Alberto Fernandez,53,Argentina_2022_Alberto_Fernandez.pdf,"Y siempre les digo: “ustedes se dieron cuenta de lo que fue gobernar en la pandemia ”, porque gobernar en la pandemia era pisar terreno desconocido, no sabíamos, realmente, por dónde transitar porque no teníamos certezas.",siempre digo ustedes dieron cuenta gobernar pandemia gobernar pandemia pisar terreno desconocido sabíamos realmente dónde transitar certezas,"{y, les, se, de, lo, que, fue, en, la, porque, en, la, era, no, por, porque, no, teníamos}",Negativo,-0.5267,Neutral,0.0,"[',', 'él', 'ser']","['gobernar', 'pandemia', 'siempre']"
2022,Argentina,Alberto Fernandez,54,Argentina_2022_Alberto_Fernandez.pdf,"La pandemia había llegado a Europa antes que a nosotros, y yo lo llamaba a Pedro Sánchez, y lo llamaba a Macron, y la llamaba a Merkel y le pedía que me expliquen qué estaban haciendo.",pandemia llegado europa llamaba pedro sánchez llamaba macron llamaba merkel pedía expliquen haciendo,"{la, había, a, antes, que, a, nosotros, y, yo, lo, a, y, lo, a, y, la, a, y, le, que, me, qué, estaban}",Neutral,0.0,Neutral,0.0,"['a', 'y', 'él']","['llamar', 'pandemiar', 'llegado']"
2022,Argentina,Alberto Fernandez,55,Argentina_2022_Alberto_Fernandez.pdf,"Y lo que me decía es: “haciendo que la gente no circule por las calles, quedándose en sus casas”.",decía haciendo gente circule calles quedándose casas,"{y, lo, que, me, es, que, la, no, por, las, en, sus}",Negativo,-0.296,Neutral,0.0,"['que', 'el', 'y']","['decir', 'hacer', 'gente']"
2022,Argentina,Alberto Fernandez,56,Argentina_2022_Alberto_Fernandez.pdf,Y un día apareció la vacuna y salimos enloquecidos a buscar la vacuna.,día apareció vacuna salimos enloquecidos buscar vacuna,"{y, un, la, y, a, la}",Neutral,0.0,Neutral,0.0,"['y', 'el', 'vacuna']","['vacuna', 'día', 'aparecer']"
2022,Argentina,Alberto Fernandez,57,Argentina_2022_Alberto_Fernandez.pdf,"Nos acusaron de mil cosas, pero empezamos a vacunar en la Argentina al mismo tiempo que el mundo central empezó a vacunar a sus ciudadanos.",acusaron mil cosas empezamos vacunar argentina mismo tiempo mundo central empezó vacunar ciudadanos,"{nos, de, pero, a, en, la, al, que, el, a, a, sus}",Neutral,0.0,Neutral,0.0,"['a', 'empezar', 'vacunar']","['vacunar', 'acusar', 'mil']"
2022,Argentina,Alberto Fernandez,58,Argentina_2022_Alberto_Fernandez.pdf,"La vacuna no se distribuía con igualdad, se distribuía muy injustamente.",vacuna distribuía igualdad distribuía injustamente,"{la, no, se, con, se, muy}",Negativo,-0.296,Neutral,0.0,"['él', 'distribuir', 'el']","['distribuir', 'vacuna', 'igualdad']"
2022,Argentina,Alberto Fernandez,59,Argentina_2022_Alberto_Fernandez.pdf,"El 90 por ciento de las vacunas quedaban en manos del mundo cen tral y el 10 por ciento de las vacunas iba para el mundo de las periferias, ahí estábamos nosotros.",90 ciento vacunas quedaban manos mundo cen tral 10 ciento vacunas iba mundo periferias ahí,"{el, por, de, las, en, del, y, el, por, de, las, para, el, de, las, estábamos, nosotros}",Neutral,0.0,Neutral,0.0,"['el', 'de', 'por']","['ciento', 'vacuna', '90']"
2022,Argentina,Alberto Fernandez,60,Argentina_2022_Alberto_Fernandez.pdf,"Pero, aun así, estuvimos entre los primeros países del mundo que empezó a vacunar.",aun así primeros países mundo empezó vacunar,"{pero, estuvimos, entre, los, del, que, a}",Neutral,0.0,Neutral,0.0,"[',', 'pero', 'aun']","['aun', 'así', 'primero']"
